name,image,category,brand,images,whatsapp_text,badge
"Balenciaga 2026 Sunglasses BB0485SA",https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_29f0a7fd_20260312_i1773308324941_1730_0_7_jpg.jpg?v=1774489041,accessories,balenciaga,"https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_29f0a7fd_20260312_i1773308324941_1730_0_7_jpg.jpg?v=1774489041|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_29f0a7fd_20260312_i1773308322280_5323_0_4_jpg.jpg?v=1774489041|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_29f0a7fd_20260312_i1773308321885_6619_0_1_jpg.jpg?v=1774489041|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_29f0a7fd_20260312_i1773308321890_7089_0_3_jpg.jpg?v=1774489041|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_29f0a7fd_20260312_i1773308323557_283_0_2_jpg.jpg?v=1774489041|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_29f0a7fd_20260312_i1773308323565_8537_0_0_jpg.jpg?v=1774489041|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_29f0a7fd_20260312_i1773308323955_3400_0_5_jpg.jpg?v=1774489041|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_29f0a7fd_20260312_i1773308324938_2930_0_6_jpg.jpg?v=1774489041|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_29f0a7fd_20260312_i1773308325479_2541_0_8_jpg.jpg?v=1774489041","Hi I want Balenciaga 2026 Sunglasses BB0485SA",
"Balenciaga Sunglasses 2026 BB0424SK",https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_58d3de53_20260322_i1774177079503_4657_0_8_jpg.jpg?v=1774489012,accessories,balenciaga,"https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_58d3de53_20260322_i1774177079503_4657_0_8_jpg.jpg?v=1774489012|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_58d3de53_20260322_i1774177079475_5951_0_1_jpg.jpg?v=1774489012|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_58d3de53_20260322_i1774177080770_4695_0_0_jpg.jpg?v=1774489012|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_58d3de53_20260322_i1774177079475_2252_0_2_jpg.jpg?v=1774489012|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_58d3de53_20260322_i1774177079474_4893_0_6_jpg.jpg?v=1774489013|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_58d3de53_20260322_i1774177079475_1511_0_7_jpg.jpg?v=1774489012|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_58d3de53_20260322_i1774177080779_4056_0_5_jpg.jpg?v=1774489012|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_58d3de53_20260322_i1774177080780_3281_0_4_jpg.jpg?v=1774489012|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_58d3de53_20260322_i1774177080782_6908_0_3_jpg.jpg?v=1774489012","Hi I want Balenciaga Sunglasses 2026 BB0424SK",
